Dates,Portolfio,Benchmark ,,,
10/28/2020,97.01,90.58725509,,,
10/29/2020,93.02,86.14235284,,,
10/30/2020,93.54,87.07292636,,,
10/31/2020,92.27,85.84375759,,,
11/1/2020,91.28,86.8896286,,,
11/2/2020,90.29,85.72498806,,,
11/3/2020,90.83,84.07104156,,,
11/4/2020,93.94,86.35612023,,,
11/5/2020,98.85,89.67314733,,,
11/6/2020,105.13,96.34791712,,,
11/7/2020,112.7,103.4066708,,,
11/8/2020,118.76,110.8053247,,,
11/9/2020,121.02,113.1968008,,,
11/10/2020,117.87,112.0881134,,,
11/11/2020,114.61,109.9055021,,,
11/12/2020,117.09,111.8917557,,,
11/13/2020,116.66,111.9937481,,,
11/14/2020,118.68,113.8866355,,,
11/15/2020,120.23,114.7007327,,,
11/16/2020,120.93,115.0808149,,,
11/17/2020,123.11,118.8609347,,,
11/18/2020,123.38,120.8563197,,,
11/19/2020,121.37,119.475516,,,
11/20/2020,121.78,119.9858676,,,
11/21/2020,122.68,121.0728409,,,
11/22/2020,124.65,124.9902413,,,
11/23/2020,125,125.427305,,,
11/24/2020,125.79,128.7710649,,,
11/25/2020,130.01,133.9406623,,,
11/26/2020,128.92,133.3254434,,,
11/27/2020,125.46,131.5621683,,,
11/28/2020,123.21,128.8188135,,,
11/29/2020,122.09,127.072132,,,
11/30/2020,123.33,128.5797068,,,
12/1/2020,124.85,129.8451525,,,
12/2/2020,125.24,132.0748777,,,
12/3/2020,127.15,131.997871,,,
12/4/2020,128.38,133.4950565,,,
12/5/2020,127.9,133.8106606,,,
12/6/2020,128.42,135.6061877,,,
12/7/2020,128.74,136.4301724,,,
12/8/2020,126.58,133.1739873,,,
12/9/2020,125.41,132.2718278,,,
12/10/2020,121.04,127.7123184,,,
12/11/2020,121.21,125.9340487,,,
12/12/2020,120.22,126.5411242,,,
12/13/2020,120.41,127.3094694,,,
12/14/2020,121.84,128.8184925,,,
12/15/2020,122.44,130.0082951,,,
12/16/2020,126.23,135.1729298,,,
12/17/2020,130.23,138.5935932,,,
12/18/2020,132.13,139.3837443,,,
12/19/2020,134.67,140.1975767,,,
12/20/2020,138.67,145.4821306,,,
12/21/2020,138.56,145.0046555,,,
12/22/2020,136.32,141.8097465,,,
12/23/2020,137.03,142.1774554,,,
12/24/2020,134.79,140.0079088,,,
12/25/2020,134.79,140.5973741,,,
12/26/2020,136,141.5008764,,,
12/27/2020,138.19,142.320313,,,
12/28/2020,138.56,142.5557214,,,
12/29/2020,141.25,145.9918709,,,
12/30/2020,141.5,148.4383903,,,
12/31/2020,144.56,153.1048274,,,
1/1/2021,147.62,157.3323715,,,
1/2/2021,150.42,159.397574,,,
1/3/2021,155.01,163.7529081,,,
1/4/2021,157.34,164.6202317,,,
1/5/2021,155.88,162.7626689,,,
1/6/2021,158.55,167.8867223,,,
1/7/2021,159.53,169.2457721,,,
1/8/2021,162.37,171.6740535,,,
1/9/2021,165.21,175.0446427,,,
1/10/2021,171.77,181.9068352,,,
1/11/2021,171.47,181.9541299,,,
1/12/2021,166.37,178.1446342,,,
1/13/2021,167.71,179.5186543,,,
1/14/2021,169.66,180.7511545,,,
1/15/2021,172.18,182.3670619,,,
1/16/2021,171.56,181.3475264,,,
1/17/2021,170.58,180.9956225,,,
1/18/2021,170.07,181.0133555,,,
1/19/2021,171.5,182.4483755,,,
1/20/2021,172.74,183.6119843,,,
1/21/2021,174.94,187.1965184,,,
1/22/2021,171.4,183.4550644,,,
1/23/2021,168.64,181.6743281,,,
1/24/2021,165.5,179.4807283,,,
1/25/2021,165.81,179.7667733,,,
1/26/2021,165.65,181.3115596,,,
1/27/2021,164.94,180.73166,,,
1/28/2021,161.79,178.2370572,,,
1/29/2021,164.59,180.4787883,,,
1/30/2021,165.72,182.4120625,,,
1/31/2021,166.8,185.0232948,,,
2/1/2021,166.36,186.9854129,,,
2/2/2021,168.22,187.9612614,,,
2/3/2021,170.24,188.6919135,,,
2/4/2021,172.32,189.2014966,,,
2/5/2021,171.33,186.8948096,,,
2/6/2021,172.2,188.7983562,,,
2/7/2021,173.07,190.256205,,,
2/8/2021,173.94,190.3229783,,,
2/9/2021,179.68,196.1877627,,,
2/10/2021,181.5,197.7326205,,,
2/11/2021,181.25,198.3697396,,,
2/12/2021,183.29,201.8368245,,,
2/13/2021,186,205.7339356,,,
2/14/2021,190.66,209.9962209,,,
2/15/2021,190.28,209.3661547,,,
2/16/2021,189.67,209.441514,,,
2/17/2021,191,211.1766646,,,
2/18/2021,191.89,212.0070566,,,
2/19/2021,189.66,209.0216068,,,
2/20/2021,193.74,212.50675,,,
2/21/2021,197.06,214.1806308,,,
2/22/2021,197.87,214.9735502,,,
2/23/2021,195.53,212.9205205,,,
2/24/2021,193.19,209.8947654,,,
2/25/2021,192.99,208.5687578,,,
2/26/2021,188.49,204.0335355,,,
2/27/2021,183.99,198.6481202,,,
2/28/2021,177.34,191.3569037,,,
3/1/2021,176.32,189.6801896,,,
3/2/2021,181.14,195.1946591,,,
3/3/2021,181,194.6566804,,,
3/4/2021,179.76,192.7640358,,,
3/5/2021,175.5,188.6049125,,,
3/6/2021,171.24,184.2514106,,,
3/7/2021,167.33,181.2896162,,,
3/8/2021,169.19,182.380308,,,
3/9/2021,166.43,178.8347997,,,
3/10/2021,174.23,186.8157795,,,
3/11/2021,172.98,186.320683,,,
3/12/2021,175.93,190.5344432,,,
3/13/2021,177.93,192.3284591,,,
3/14/2021,182.32,196.2012788,,,
3/15/2021,180.54,192.5207872,,,
3/16/2021,179.36,191.8999474,,,
3/17/2021,179.71,192.6511862,,,
3/18/2021,182.45,197.7311914,,,
3/19/2021,179.58,195.2335965,,,
3/20/2021,176.99,193.7826027,,,
3/21/2021,174.51,191.7413573,,,
3/22/2021,173.84,192.3472497,,,
3/23/2021,172.13,188.315444,,,
3/24/2021,170.8,186.5514361,,,
3/25/2021,166.32,181.2311328,,,
3/26/2021,162.25,175.4143259,,,
3/27/2021,162.08,174.7249934,,,
3/28/2021,162.48,175.7928212,,,
3/29/2021,162.53,175.1121235,,,
3/30/2021,163.37,176.8749088,,,
3/31/2021,165.79,180.2262961,,,
4/1/2021,166.84,181.5606679,,,
4/2/2021,168.73,183.1208895,,,
4/3/2021,171.51,184.528532,,,
4/4/2021,172.12,184.8734909,,,
4/5/2021,174.07,186.1165109,,,
4/6/2021,177.14,189.3310521,,,
4/7/2021,179.04,190.2847313,,,
4/8/2021,176.06,188.5050923,,,
4/9/2021,179.33,192.0443767,,,
4/10/2021,182.66,195.2731963,,,
4/11/2021,188.84,201.164739,,,
4/12/2021,189.88,203.7278801,,,
4/13/2021,190,201.9151384,,,
4/14/2021,192.74,205.4821976,,,
4/15/2021,192.63,206.5779055,,,
4/16/2021,193.45,207.7367026,,,
4/17/2021,195.24,211.2854531,,,
4/18/2021,196.09,212.4408554,,,
4/19/2021,192.43,207.2870596,,,
4/20/2021,191.24,205.0332548,,,
4/21/2021,192.38,205.2377947,,,
4/22/2021,191.6,204.2455092,,,
4/23/2021,189.21,201.378947,,,
