Dates,Portolfio,Benchmark 
10/17/2020,98.91886504,117.8124188
10/18/2020,98.91886504,117.8124188
10/19/2020,98.54094276,116.2909011
10/20/2020,97.58935697,116.6917027
10/21/2020,97.24398259,116.5049793
10/22/2020,96.20426716,117.0532957
10/23/2020,96.81554652,117.3933226
10/24/2020,96.81554652,117.3933226
10/25/2020,96.81554652,117.3933226
10/26/2020,97.74588167,115.5454965
10/27/2020,98.41679759,115.2002422
10/28/2020,98.51020409,111.7814946
10/29/2020,97.53946019,112.796723
10/30/2020,96.55292241,111.7581971
10/31/2020,96.55292241,111.7581971
11/1/2020,96.55292241,111.7581971
11/2/2020,97.30195542,112.8753264
11/3/2020,96.72178811,114.6429862
11/4/2020,98.89106223,116.8799755
11/5/2020,99.06489133,118.8299079
11/6/2020,97.85638214,118.8046586
11/7/2020,97.85638214,118.8046586
11/8/2020,97.85638214,118.8046586
11/9/2020,95.7548768,120.0611304
11/10/2020,95.17819556,119.917712
11/11/2020,95.53915177,120.6545673
11/12/2020,97.24083725,119.6875452
11/13/2020,97.10827561,121.0708702
11/14/2020,97.10827561,121.0708702
11/15/2020,97.10827561,121.0708702
11/16/2020,96.86799213,122.3180147
11/17/2020,97.5208137,121.7813967
11/18/2020,97.81044637,120.5797536
11/19/2020,98.32532788,121.0017207
11/20/2020,99.21233009,120.3158157
11/21/2020,99.21233009,120.3158157
11/22/2020,99.21233009,120.3158157
11/23/2020,98.75413228,120.9131278
11/24/2020,97.75895431,122.5274277
11/25/2020,97.45110268,122.369171
11/26/2020,97.45110268,122.369171
11/27/2020,98.4215735,122.6496075
11/28/2020,98.4215735,122.6496075
11/29/2020,98.4215735,122.6496075
11/30/2020,98.29673122,122.2058115
12/1/2020,96.82229808,123.2988745
12/2/2020,96.02865849,123.510291
12/3/2020,96.83506032,123.4861801
12/4/2020,95.36849588,124.348353
12/5/2020,95.36849588,124.348353
12/6/2020,95.36849588,124.348353
12/7/2020,96.27055352,124.1391355
12/8/2020,96.74308793,124.4326541
12/9/2020,96.41261608,123.5367573
12/10/2020,97.29897547,123.5066241
12/11/2020,97.65294462,123.386055
12/12/2020,97.65294462,123.386055
12/13/2020,97.65294462,123.386055
12/14/2020,97.37582539,122.9394109
12/15/2020,97.04104959,124.2914177
12/16/2020,96.77489658,124.446948
12/17/2020,96.51030846,125.0083766
12/18/2020,96.21056592,124.6045042
12/19/2020,96.21056592,124.6045042
